Table 1
ID,Flag,Cue,Title,Colour,Time Start,Time End,Duration,Link Start,Count to end,Note,Timer Type,End Action,Warning Time,Danger Time,Skip
2c8b62,,TECH-Standby,Standby,#ED3333,08:30:00,09:55:00,01:25:00,,TRUE,,count-down,,00:05:00,00:01:00,
acf3d6,,---,-- START COUNTDOWN --,,09:55:00,09:55:00,00:00:00,TRUE,,"""""""***START ON DIRECTOR'S CALL***
DIRECTOR - CHECK IN WITH ALL MUSICIANS, DANCE, SPEAKERS & TECH BEFORE CALLING COUNTDOWN""""""",count-down,play-next,00:02:00,00:01:00,
665603,,Countdown,5 Min Countdown,#FFAB33,09:55:00,10:00:00,00:05:00,TRUE,,Background Music,count-down,play-next,00:02:00,00:01:00,
42a6e5,TRUE,Intro,Introduction,#77C785,10:00:00,10:02:30,00:02:30,TRUE,TRUE,Sara G,count-down,,00:02:00,00:01:00,
4bae56,,,-- PRAISE & WORSHIP --,#779BE7,10:02:30,10:20:00,,,,,group,,,,
117f49,,SONG,Bendito Sea El Señor Que Oyó Mi Voz,#779BE7,10:02:30,10:20:00,00:17:30,TRUE,TRUE,,count-down,,00:02:00,00:01:00,
63bf7c,,SONG,Solo En Jesus (Darlene Zschech),#779BE7,10:20:00,10:20:00,00:00:00,TRUE,TRUE,,count-down,,00:02:00,00:01:00,
73a01b,,SONG,Dios Sea Exaltado,#779BE7,10:20:00,10:20:00,00:00:00,TRUE,TRUE,,count-down,,00:02:00,00:01:00,
a31141,,SONG,Levantate Señor,#779BE7,10:20:00,10:20:00,00:00:00,TRUE,TRUE,,count-down,,00:02:00,00:01:00,
31953d,,SONG,La Bondad de Dios,#779BE7,10:20:00,10:20:00,00:00:00,TRUE,TRUE,,count-down,,00:02:00,00:01:00,
,,,,,,,,,,,group-end,,,,
cdd734,,,-- SERMON --,#FFCC78,10:20:00,11:15:00,,,,,group,,,,
0729c0,,Welcome,Welcome,#FFCC78,10:20:00,10:22:00,00:02:00,TRUE,,,count-down,,00:00:00,00:00:00,
b347c4,TRUE,Sermon,¿Y adónde vas?,#FFCC78,10:22:00,10:52:00,00:30:00,TRUE,TRUE,Nicolas,count-down,,00:15:00,00:05:00,
ba8080,,Alter Call,Alter Call,#FFAB33,10:52:00,11:15:00,00:23:00,TRUE,TRUE,,count-down,,00:02:00,00:01:00,
,,,,,,,,,,,group-end,,,,
5fa150,,---,*****LIVE ENDS AFTER ALTER CALL*****,#ED3333,,,,,,,milestone,,,,
03fd40,,Ofrenda,Ofrenda,#A790F5,11:15:00,11:25:00,00:10:00,TRUE,TRUE,Sara G,count-down,,00:02:00,00:01:00,
a4e512,,Song 13,OFFERINGS SONG,#8064E1,11:25:00,11:25:00,00:00:00,TRUE,TRUE,,count-down,,00:02:00,00:01:00,
8b2aed,,ANNOUNCEMENTS,Announcements,#FF7878,11:25:00,11:25:00,00:00:00,TRUE,TRUE,,count-down,,00:00:00,00:00:00,
58b560,TRUE,Prayer,Prayer,#FF7878,11:25:00,11:29:00,00:04:00,TRUE,TRUE,Sara G,count-down,,00:02:00,00:01:00,
3f9e66,,---,-- END OF SPANISH SERVICE --,,,,,,,,milestone,,,,
5f5a05,,TECH-Standby,Standby,#ED3333,11:29:00,11:55:00,00:26:00,TRUE,TRUE,,count-down,,00:05:00,00:01:00,
702ad2,,---,-- START COUNTDOWN --,,11:55:00,11:55:00,00:00:00,TRUE,,"""""""***START ON DIRECTOR'S CALL***
DIRECTOR - CHECK IN WITH ALL MUSICIANS, DANCE, SPEAKERS & TECH BEFORE CALLING COUNTDOWN""""""",count-down,play-next,00:02:00,00:01:00,
1b33ea,,Countdown,5 Min Countdown,#FFAB33,11:55:00,12:00:00,00:05:00,TRUE,,Background Music,count-down,play-next,00:02:00,00:01:00,
8e29ca,TRUE,Intro,Introduction,#77C785,12:00:00,12:02:00,00:02:00,TRUE,,,count-down,,00:02:00,00:01:00,
304183,,,-- PRAISE & WORSHIP --,#779BE7,12:02:00,12:30:00,,,,,group,,,,
552ea9,,SONG,In Jesus' Name,#779BE7,12:02:00,12:10:00,00:08:00,TRUE,TRUE,,count-down,,00:02:00,00:02:00,
44b77c,,SONG,Blessed Be Your Name,#779BE7,12:10:00,12:10:00,00:00:00,TRUE,TRUE,,count-down,,00:02:00,00:02:00,
d58663,,SONG,Firm Foundation (He Won't),#779BE7,12:10:00,12:10:00,00:00:00,TRUE,TRUE,,count-down,,00:02:00,00:01:00,
9e0cb5,,Ofrenda,Ofrenda,#A790F5,12:10:00,12:12:00,00:02:00,TRUE,,,count-down,,00:02:00,00:01:00,
93451f,,SONG,Gratitude,#8064E1,12:12:00,12:20:00,00:08:00,TRUE,TRUE,,count-down,,00:02:00,00:01:00,
b2da00,,Santa Cena,Santa Cena,#FFAB33,12:20:00,12:30:00,00:10:00,TRUE,TRUE,,count-down,,00:02:00,00:01:00,
